role,priority_rank,s_id,class_id,phase_idx,phase_sector_mod3,q_id,order,q_order,q_family_tag,dominant_dg_left,dominant_dp_left,score,rationale
electron_like,1,186,SC0121,0,0,186,6,6,B112_line_plus_e000_halfsum,0,0,0.6890625,B-family stable nontrivial order candidate
electron_like,2,191,SC0121,0,0,191,6,6,B112_line_plus_e000_halfsum,0,0,0.6890625,B-family stable nontrivial order candidate
electron_like,3,204,SC0121,0,0,204,6,6,B112_line_plus_e000_halfsum,0,0,0.6890625,B-family stable nontrivial order candidate
electron_like,4,217,SC0121,0,0,217,6,6,B112_line_plus_e000_halfsum,0,0,0.6890625,B-family stable nontrivial order candidate
electron_like,5,230,SC0121,0,0,230,6,6,B112_line_plus_e000_halfsum,0,0,0.6890625,B-family stable nontrivial order candidate
electron_like,6,235,SC0121,0,0,235,6,6,B112_line_plus_e000_halfsum,0,0,0.6890625,B-family stable nontrivial order candidate
electron_like,7,184,SC0055,0,0,184,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,8,185,SC0055,0,0,185,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,9,187,SC0055,0,0,187,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,10,189,SC0055,0,0,189,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,11,190,SC0055,0,0,190,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,12,192,SC0055,0,0,192,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,13,193,SC0055,0,0,193,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,14,196,SC0055,0,0,196,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,15,225,SC0055,0,0,225,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,16,228,SC0055,0,0,228,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,17,229,SC0055,0,0,229,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,18,231,SC0055,0,0,231,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,19,232,SC0055,0,0,232,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,20,234,SC0055,0,0,234,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,21,236,SC0055,0,0,236,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,22,237,SC0055,0,0,237,6,6,B112_line_plus_e000_halfsum,0,0,0.6640625,B-family stable nontrivial order candidate
electron_like,23,4,SC0118,0,0,4,3,3,B112_line_plus_e000_halfsum,0,0,0.6619791666666667,B-family stable nontrivial order candidate
electron_like,24,9,SC0118,0,0,9,3,3,B112_line_plus_e000_halfsum,0,0,0.6619791666666667,B-family stable nontrivial order candidate
electron_like,25,22,SC0118,0,0,22,3,3,B112_line_plus_e000_halfsum,0,0,0.6619791666666667,B-family stable nontrivial order candidate
electron_like,26,35,SC0118,0,0,35,3,3,B112_line_plus_e000_halfsum,0,0,0.6619791666666667,B-family stable nontrivial order candidate
electron_like,27,48,SC0118,0,0,48,3,3,B112_line_plus_e000_halfsum,0,0,0.6619791666666667,B-family stable nontrivial order candidate
electron_like,28,53,SC0118,0,0,53,3,3,B112_line_plus_e000_halfsum,0,0,0.6619791666666667,B-family stable nontrivial order candidate
electron_like,29,1444,SC0077,6,0,4,6,3,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,30,1449,SC0077,6,0,9,6,3,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,31,1462,SC0077,6,0,22,6,3,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,32,1475,SC0077,6,0,35,6,3,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,33,1488,SC0077,6,0,48,6,3,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,34,1493,SC0077,6,0,53,6,3,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,35,1626,SC0077,6,0,186,6,6,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,36,1631,SC0077,6,0,191,6,6,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,37,1644,SC0077,6,0,204,6,6,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,38,1657,SC0077,6,0,217,6,6,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,39,1670,SC0077,6,0,230,6,6,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,40,1675,SC0077,6,0,235,6,6,B112_line_plus_e000_halfsum,0,6,0.6598958333333333,B-family stable nontrivial order candidate
electron_like,41,188,SC0070,0,0,188,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,42,194,SC0070,0,0,194,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,43,195,SC0070,0,0,195,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,44,197,SC0070,0,0,197,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,45,203,SC0070,0,0,203,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,46,205,SC0070,0,0,205,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,47,206,SC0070,0,0,206,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,48,215,SC0070,0,0,215,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,49,216,SC0070,0,0,216,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,50,218,SC0070,0,0,218,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,51,224,SC0070,0,0,224,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,52,226,SC0070,0,0,226,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,53,227,SC0070,0,0,227,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,54,233,SC0070,0,0,233,6,6,B112_line_plus_e000_halfsum,0,0,0.6390625,B-family stable nontrivial order candidate
electron_like,55,2,SC0052,0,0,2,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,56,3,SC0052,0,0,3,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,57,5,SC0052,0,0,5,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,58,7,SC0052,0,0,7,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,59,8,SC0052,0,0,8,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,60,10,SC0052,0,0,10,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,61,11,SC0052,0,0,11,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,62,14,SC0052,0,0,14,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,63,43,SC0052,0,0,43,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,64,46,SC0052,0,0,46,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,65,47,SC0052,0,0,47,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,66,49,SC0052,0,0,49,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,67,50,SC0052,0,0,50,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,68,52,SC0052,0,0,52,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,69,54,SC0052,0,0,54,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,70,55,SC0052,0,0,55,3,3,B112_line_plus_e000_halfsum,0,0,0.6369791666666667,B-family stable nontrivial order candidate
electron_like,71,1442,SC0013,6,0,2,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,72,1443,SC0013,6,0,3,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,73,1445,SC0013,6,0,5,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,74,1447,SC0013,6,0,7,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,75,1448,SC0013,6,0,8,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,76,1450,SC0013,6,0,10,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,77,1451,SC0013,6,0,11,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,78,1454,SC0013,6,0,14,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,79,1483,SC0013,6,0,43,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,80,1486,SC0013,6,0,46,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,81,1487,SC0013,6,0,47,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,82,1489,SC0013,6,0,49,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,83,1490,SC0013,6,0,50,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,84,1492,SC0013,6,0,52,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,85,1494,SC0013,6,0,54,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,86,1495,SC0013,6,0,55,6,3,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,87,1624,SC0013,6,0,184,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,88,1625,SC0013,6,0,185,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,89,1627,SC0013,6,0,187,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,90,1629,SC0013,6,0,189,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,91,1630,SC0013,6,0,190,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,92,1632,SC0013,6,0,192,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,93,1633,SC0013,6,0,193,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,94,1636,SC0013,6,0,196,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,95,1665,SC0013,6,0,225,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,96,1668,SC0013,6,0,228,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,97,1669,SC0013,6,0,229,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,98,1671,SC0013,6,0,231,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,99,1672,SC0013,6,0,232,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,100,1674,SC0013,6,0,234,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,101,1676,SC0013,6,0,236,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,102,1677,SC0013,6,0,237,6,6,B112_line_plus_e000_halfsum,0,6,0.6348958333333333,B-family stable nontrivial order candidate
electron_like,103,183,SC0076,0,0,183,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,104,200,SC0076,0,0,200,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,105,202,SC0076,0,0,202,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,106,207,SC0076,0,0,207,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,107,209,SC0076,0,0,209,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,108,210,SC0076,0,0,210,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,109,211,SC0076,0,0,211,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,110,212,SC0076,0,0,212,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,111,214,SC0076,0,0,214,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,112,219,SC0076,0,0,219,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,113,221,SC0076,0,0,221,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,114,238,SC0076,0,0,238,6,6,B112_line_plus_e000_halfsum,0,0,0.6140625,B-family stable nontrivial order candidate
electron_like,115,6,SC0067,0,0,6,3,3,B112_line_plus_e000_halfsum,0,0,0.6119791666666666,B-family stable nontrivial order candidate
electron_like,116,12,SC0067,0,0,12,3,3,B112_line_plus_e000_halfsum,0,0,0.6119791666666666,B-family stable nontrivial order candidate
electron_like,117,13,SC0067,0,0,13,3,3,B112_line_plus_e000_halfsum,0,0,0.6119791666666666,B-family stable nontrivial order candidate
electron_like,118,15,SC0067,0,0,15,3,3,B112_line_plus_e000_halfsum,0,0,0.6119791666666666,B-family stable nontrivial order candidate
electron_like,119,21,SC0067,0,0,21,3,3,B112_line_plus_e000_halfsum,0,0,0.6119791666666666,B-family stable nontrivial order candidate
electron_like,120,23,SC0067,0,0,23,3,3,B112_line_plus_e000_halfsum,0,0,0.6119791666666666,B-family stable nontrivial order candidate
mediator_w_like,1,1216,SC0065,5,2,16,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,2,1217,SC0065,5,2,17,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,3,1219,SC0065,5,2,19,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,4,1226,SC0065,5,2,26,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,5,1231,SC0065,5,2,31,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,6,1238,SC0065,5,2,38,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,7,1240,SC0065,5,2,40,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,8,1241,SC0065,5,2,41,12,3,B112_line_plus_e000_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,9,1260,SC0010,5,2,60,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,10,1261,SC0010,5,2,61,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,11,1263,SC0010,5,2,63,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,12,1265,SC0010,5,2,65,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,13,1269,SC0010,5,2,69,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,14,1270,SC0010,5,2,70,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,15,1271,SC0010,5,2,71,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,16,1272,SC0010,5,2,72,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,17,1274,SC0010,5,2,74,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,18,1276,SC0010,5,2,76,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,19,1277,SC0010,5,2,77,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,20,1279,SC0010,5,2,79,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,21,1280,SC0010,5,2,80,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,22,1283,SC0010,5,2,83,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,23,1284,SC0010,5,2,84,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,24,1285,SC0010,5,2,85,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,25,1286,SC0010,5,2,86,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,26,1290,SC0170,5,2,90,12,4,A16_basis_signed_unit,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,27,1291,SC0010,5,2,91,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,28,1293,SC0010,5,2,93,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,29,1294,SC0010,5,2,94,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,30,1295,SC0010,5,2,95,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,31,1296,SC0010,5,2,96,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,32,1297,SC0010,5,2,97,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,33,1299,SC0010,5,2,99,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,34,1300,SC0010,5,2,100,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,35,1302,SC0010,5,2,102,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,36,1303,SC0010,5,2,103,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,37,1304,SC0010,5,2,104,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,38,1305,SC0010,5,2,105,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,39,1308,SC0010,5,2,108,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,40,1309,SC0010,5,2,109,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
mediator_w_like,41,1310,SC0010,5,2,110,12,4,C112_complement_halfsum,2,5,0.9677083333333335,nonzero generation-hop dominant_dg
